_info,unitPrice,skuId,meterId
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 80 vCore",0.761,DZH318Z09PHV/007K,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 1 vCore",0.761,DZH318Z09PHV/00FJ,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 16 vCore",0.761,DZH318Z09PHV/008D,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 4 vCore",0.761,DZH318Z09PHV/00C0,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 8 vCore",0.761,DZH318Z09PHV/00BC,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 24 vCore",0.761,DZH318Z09PHV/00D3,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 2 vCore",0.761,DZH318Z09PHV/00DB,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 32 vCore",0.761,DZH318Z09PHV/00CL,d666c270-6926-5fbb-8331-98b146bfcb82
"SQL Database Single Standard, S1 Secondary, S1 Secondary DTUs, SQL Database, Databases, 1/Day, Consumption",0.73,DZH318Z0BQHF/00LV,d4a1726f-2b95-4355-9907-b6b2123f8a37
"SQL Database Single Premium, P1, P1 DTU, SQL Database, Databases, 1/Day, Consumption",15.0,DZH318Z0BQHC/00NX,ce1e156d-8253-42f4-bb9e-409708366fea
